scenario,seed,generation,steps,population_end,population_total,survival_rate,avg_fitness,best_fitness,median_fitness,avg_energy_alive,food_eaten,reproductions,hazard_hits,avg_speed,avg_endurance,avg_foraging,avg_reproduction,avg_q_states,fitness_delta,survival_delta,q_states_delta
low_hazard,3213,11,260,74,103,0.7184466019417476,108.0699029126212,415.28999999999974,90.49999999999984,46.82523658971664,246,71,60,1.6201867025499204,1.3515981758815703,1.4903922979327806,0.4481388258044998,7098.582524271845,-5.4840676756139715,-0.03155339805825241,7049.611936036551
high_hazard,3211,11,260,27,48,0.5625,78.00812499999984,256.2999999999996,51.994999999999784,56.13849009409314,132,16,135,1.6532592596140538,1.297207262343651,1.3950898065129558,0.49720963265055396,3501.3541666666665,41.39137499999994,0.3625,3479.1791666666663
high_hazard,3212,11,260,25,46,0.5434782608695652,63.995434782608555,242.2999999999996,34.355000000000004,47.80993621677495,78,14,112,1.4418473898350614,1.4545158821527138,1.475865570289092,0.4224065013530783,3949.108695652174,14.418605514315999,0.15323435843054078,3921.8891834570522
high_hazard,3213,11,260,25,54,0.46296296296296297,68.3457407407406,316.7499999999996,26.635,51.77014552052725,114,22,166,1.7219816607179657,1.4986464793884497,1.3975403974276848,0.3913998464052811,4019.3888888888887,10.301610305958121,0.0499194847020934,3988.323671497584
no_exploration,3211,11,260,16,41,0.3902439024390244,58.06073170731691,194.69999999999956,32.91999999999994,52.66786545455605,71,9,85,1.6387968338059353,1.3389346471778625,1.5255676753785883,0.4829192161625855,3800.6341463414633,0.15073170731707108,-0.054200542005420016,3781.0785907859076
no_exploration,3212,11,260,31,48,0.6458333333333334,92.60624999999982,231.24999999999974,100.99999999999967,62.53074582588693,108,16,24,1.4406246988898495,1.313373480221448,1.468133892084256,0.5344391521892552,3369.8541666666665,31.099671052631585,0.22478070175438603,3350.643640350877
no_exploration,3213,11,260,25,34,0.7352941176470589,77.56735294117625,195.19999999999973,89.54999999999967,62.03661614690304,69,2,22,1.2563946188181774,1.1790686579847456,1.4968023226988163,0.47038066171228865,3298.0,-2.0101980792317846,0.18427370948379362,3269.183673469388
high_exploration,3211,11,260,27,51,0.5294117647058824,73.74098039215671,301.3499999999997,49.18000000000001,46.83201673537336,108,19,74,1.5288588725113765,1.3759665134733419,1.2525186466375717,0.4905676913307792,5589.705882352941,-2.764107327141417,0.10835913312693501,5547.916408668731
high_exploration,3212,11,260,59,86,0.686046511627907,98.29465116279061,457.85000000000036,52.57499999999981,55.90920976354591,240,54,148,1.430238332753354,1.3503388785394854,1.4481703556575845,0.40871039079190075,6100.360465116279,20.36465116279075,0.18604651162790697,6056.806893687707
high_exploration,3213,11,260,88,113,0.7787610619469026,128.07380530973438,402.3499999999997,106.4899999999999,56.20116488261358,321,81,104,1.3649117098606076,1.4489187574097762,1.570485303285743,0.5150673045846443,7879.256637168141,41.23213864306787,0.11209439528023601,7833.441822353327
